GEO_ID,NAME,TSRR001_001,TSRR001_002,TSRR001_003,TSRR001_004,TSRR001_005,TSRR001_006,TSRR001_007,TSRR001_008,TSRR001_009,TSRR001_010,TSRR001_011,TSRR001_012,TSRR001_013,TSRR001_014,TSRR001_015,TSRR001_016,TSRR001_017,TSRR001_018,TSRR001_019,TSRR001_020,TSRR001_021,TSRR001_022,TSRR001_023,TSRR001_024,Unnamed: 26
13089022401,Census Tract 224.01; DeKalb County; Georgia,68.7,3.4,0.3,72.3,71.8,3.6,0.3,75.7,73.1,3.6,0.3,76.9,76.3,3.8,0.3,80.4,4.3,4.4,64.0,67.6,71.5,75.3,7.3,7.8,
13089022403,Census Tract 224.03; DeKalb County; Georgia,73.3,4.5,0.4,78.3,75.6,4.7,0.5,80.8,77.6,4.7,0.5,82.8,80.0,4.9,0.5,85.4,3.5,3.5,73.6,76.6,81.3,84.6,4.6,5.1,
13089022404,Census Tract 224.04; DeKalb County; Georgia,26.9,3.7,0.5,31.1,29.5,5.3,0.6,35.3,31.3,4.3,0.6,36.2,34.2,6.2,0.7,41.1,11.2,11.2,68.4,68.8,87.4,88.0,17.6,18.2,
13089022405,Census Tract 224.05; DeKalb County; Georgia,63.6,1.4,0.0,65.0,67.4,1.8,0.0,69.2,69.5,1.6,0.0,71.1,72.7,2.0,0.0,74.7,4.3,4.5,20.9,22.7,22.7,24.7,1.8,2.9,
13089023101,Census Tract 231.01; DeKalb County; Georgia,53.5,7.4,1.1,62.1,56.9,8.4,1.2,66.5,59.8,8.3,1.3,69.4,63.5,9.4,1.3,74.3,9.9,9.9,57.5,61.6,74.0,79.2,14.9,16.8,
13089023601,Census Tract 236.01; DeKalb County; Georgia,59.1,6.9,2.2,68.2,61.8,7.3,2.5,71.7,64.4,7.6,2.4,74.4,67.4,8.0,2.8,78.2,7.3,7.3,59.1,61.8,71.7,75.0,13.8,14.0,
13089023701,Census Tract 237.01; DeKalb County; Georgia,56.3,4.9,0.7,61.9,60.0,5.5,0.8,66.3,63.1,5.5,0.8,69.4,67.2,6.2,0.9,74.2,9.2,9.8,61.8,65.1,71.0,74.8,10.0,11.1,
13089023702,Census Tract 237.02; DeKalb County; Georgia,51.5,5.3,1.3,58.1,55.0,6.3,1.8,63.1,56.0,5.7,1.4,63.1,59.8,6.8,1.9,68.5,7.2,7.4,56.3,60.1,67.7,72.2,9.3,13.7,
13089023801,Census Tract 238.01; DeKalb County; Georgia,58.0,5.9,1.0,64.9,60.9,6.8,1.2,68.9,62.7,6.4,1.1,70.2,65.9,7.3,1.3,74.5,6.5,6.5,60.7,65.4,74.1,79.8,14.1,15.8,
13089023802,Census Tract 238.02; DeKalb County; Georgia,47.5,4.7,1.4,53.7,50.5,5.6,1.7,57.8,54.3,5.4,1.6,61.3,57.5,6.4,1.9,65.9,11.6,12.0,33.9,37.4,64.0,70.6,35.9,43.9,
13121000100,Census Tract 1; Fulton County; Georgia,70.4,2.4,0.2,73.0,73.0,2.5,0.3,75.8,74.3,2.5,0.2,77.1,77.1,2.6,0.3,80.1,3.7,3.7,71.8,75.4,78.9,82.9,5.7,6.1,
13121000201,Census Tract 2.01; Fulton County; Georgia,72.5,2.3,0.2,75.0,76.0,2.3,0.3,78.6,79.6,2.5,0.2,82.3,83.4,2.6,0.3,86.3,6.9,6.9,65.0,68.6,73.4,77.5,6.9,7.3,
13121000202,Census Tract 2.02; Fulton County; Georgia,72.4,2.7,0.1,75.2,74.9,2.8,0.1,77.8,76.8,2.8,0.1,79.8,79.3,3.0,0.1,82.4,2.6,2.7,69.1,73.4,76.4,81.2,5.3,5.5,
13121000400,Census Tract 4; Fulton County; Georgia,60.5,4.1,0.3,64.9,63.0,5.2,0.6,68.8,67.6,4.6,0.3,72.5,70.1,5.8,0.7,76.6,6.6,6.7,59.6,63.4,79.2,83.9,15.2,15.8,
13121000501,Census Tract 5.01; Fulton County; Georgia,36.3,0.8,0.0,37.1,40.7,1.1,0.2,42.0,46.0,1.0,0.0,47.0,51.5,1.4,0.2,53.1,18.6,19.0,31.7,34.8,50.7,55.3,28.0,29.9,
13121000502,Census Tract 5.02; Fulton County; Georgia,53.6,2.5,0.2,56.3,55.1,2.7,0.3,58.1,57.2,2.7,0.3,60.2,58.8,2.9,0.4,62.1,5.0,5.0,70.4,74.2,83.6,87.8,10.7,11.5,
13121000601,Census Tract 6.01; Fulton County; Georgia,36.1,0.7,0.1,36.9,39.9,0.9,0.2,41.0,44.9,0.9,0.1,45.8,49.4,1.1,0.2,50.8,17.0,17.1,42.2,45.5,56.3,60.3,9.6,11.5,
13121000602,Census Tract 6.02; Fulton County; Georgia,49.2,0.9,0.1,50.1,53.2,1.5,0.3,54.9,52.2,1.0,0.1,53.3,56.4,1.5,0.3,58.2,2.8,2.9,36.5,41.2,45.7,51.2,7.8,12.2,
13121000700,Census Tract 7; Fulton County; Georgia,57.8,6.2,0.9,64.9,60.0,6.4,0.9,67.3,66.6,7.1,1.1,74.8,68.8,7.4,1.1,77.3,11.6,11.6,61.1,63.6,74.6,77.6,15.2,15.6,
13121001001,Census Tract 10.01; Fulton County; Georgia,49.0,1.2,0.1,50.3,52.8,1.4,0.2,54.4,53.1,1.3,0.1,54.4,56.9,1.5,0.2,58.6,3.5,4.1,58.3,62.4,71.8,76.9,12.2,13.9,
13121001002,Census Tract 10.02; Fulton County; Georgia,41.3,0.4,0.1,41.8,45.5,0.8,0.2,46.6,43.9,0.4,0.1,44.5,48.2,0.9,0.2,49.3,2.0,2.3,25.3,29.2,48.3,55.1,7.3,10.6,
13121001101,Census Tract 11.01; Fulton County; Georgia,50.0,1.8,0.2,52.0,54.1,2.4,0.4,56.8,62.6,2.3,0.3,65.1,67.5,2.9,0.5,70.9,16.6,17.0,56.2,60.6,72.3,77.6,13.3,14.4,
13121001102,Census Tract 11.02; Fulton County; Georgia,57.9,1.7,0.6,60.2,63.4,2.2,0.7,66.3,62.6,1.9,0.6,65.1,68.4,2.4,0.7,71.5,3.3,3.5,52.4,55.3,74.2,78.3,26.6,27.0,
