FILEID	STUSAB	SUMLEV	GEOVAR	GEOCOMP	CHARITER	CIFSN	LOGRECNO	GEOID	GEOCODE	REGION	DIVISION	STATE	STATENS	COUNTY	COUNTYCC	COUNTYNS	COUSUB	COUSUBCC	COUSUBNS	SUBMCD	SUBMCDCC	SUBMCDNS	ESTATE	ESTATECC	ESTATENS	CONCIT	CONCITCC	CONCITNS	PLACE	PLACECC	PLACENS	TRACT	BLKGRP	BLOCK	AIANHH	AIHHTLI	AIANHHFP	AIANHHCC	AIANHHNS	AITS	AITSFP	AITSCC	AITSNS	TTRACT	TBLKGRP	ANRC	ANRCCC	ANRCNS	CBSA	MEMI	CSA	METDIV	NECTA	NMEMI	CNECTA	NECTADIV	CBSAPCI	NECTAPCI	UA	UATYPE	UR	CD116	CD118	CD119	CD120	CD121	SLDU18	SLDU22	SLDU24	SLDU26	SLDU28	SLDL18	SLDL22	SLDL24	SLDL26	SLDL28	VTD	VTDI	ZCTA	SDELM	SDSEC	SDUNI	PUMA	AREALAND	AREAWATR	BASENAME	NAME	FUNCSTAT	GCUNI	POP100	HU100	INTPTLAT	INTPTLON	LSADC	PARTFLAG	UGA	POP2020	WHITE	BLACK	HISPANIC	NON_HISPANIC	NATIVE	ASIAN	PACISL	OTHER	MULTINH	POP18_2020	WHITE18	BLACK18	HISP18	NON_HISP18	NATIVE18	ASIAN18	PACISL18	OTHER18	MULTINH18	GQPOP	GQINST20	GQPRIS20	GQJUV20	GQNUR20	GQOTHINST20	GQNONINST20	GQCOLL20	GQMILI20	GQOTHNONINST20	TOT_HOUSING	OCCUPIED	VACANT
PLST	GA	750	00	00	000	03	0196679	7500000US131210053003009	131210053003009	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3009	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		28423	0	3009	Block 3009	S		89	33	+33.7288533	-084.3720825	BK		99999	89	56	24	5	84	0	3	0	1	0	73	47	18	4	69	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	33	32	1
PLST	GA	750	00	00	000	03	0196680	7500000US131210053003010	131210053003010	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005300	3	3010	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001E	A		99999	99999	00120		5401	0	3010	Block 3010	S		19	4	+33.7279077	-084.3686888	BK		99999	19	8	6	3	16	0	0	0	2	0	11	3	6	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4
PLST	GA	750	00	00	000	03	0196681	7500000US131210055011000	131210055011000	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1000	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		4461	0	1000	Block 1000	S		11	5	+33.7365378	-084.3804370	BK		99999	11	5	0	0	11	0	0	0	6	0	11	5	0	0	11	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	5	0
PLST	GA	750	00	00	000	03	0196682	7500000US131210055011001	131210055011001	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1001	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		9256	0	1001	Block 1001	S		23	11	+33.7359306	-084.3803890	BK		99999	23	17	4	1	22	0	1	0	0	0	21	15	4	1	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0
PLST	GA	750	00	00	000	03	0196683	7500000US131210055011002	131210055011002	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1002	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		51675	0	1002	Block 1002	S		0	0	+33.7349483	-084.3816572	BK		99999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLST	GA	750	00	00	000	03	0196684	7500000US131210055011003	131210055011003	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1003	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		33209	0	1003	Block 1003	S		0	0	+33.7358819	-084.3832500	BK		99999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLST	GA	750	00	00	000	03	0196685	7500000US131210055011004	131210055011004	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1004	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		9076	0	1004	Block 1004	S		11	11	+33.7361873	-084.3845007	BK		99999	11	4	4	2	9	0	0	0	0	1	11	4	4	2	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	3
PLST	GA	750	00	00	000	03	0196686	7500000US131210055011005	131210055011005	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1005	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		8890	0	1005	Block 1005	S		21	7	+33.7361957	-084.3852168	BK		99999	21	13	3	0	21	0	1	0	0	4	16	9	2	0	16	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	7	7	0
PLST	GA	750	00	00	000	03	0196687	7500000US131210055011006	131210055011006	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1006	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		9764	0	1006	Block 1006	S		8	6	+33.7362040	-084.3859569	BK		99999	8	5	2	0	8	0	1	0	0	0	6	4	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0
PLST	GA	750	00	00	000	03	0196688	7500000US131210055011007	131210055011007	3	5	13	01705317	121	H1	01694833	90144	Z5	01936089							99999	99	99999999	04000	C1	02403126	005501	1	1007	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					036					059					00001G	A		99999	99999	00120		19573	0	1007	Block 1007	S		4	1	+33.7362171	-084.3871120	BK		99999	4	0	4	0	4	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
